City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,praia,14.92,-23.51,78.8,65,0,16.11,CV,1605216345
89,atar,20.52,-13.05,84.6,14,71,8.05,MR,1605216345
90,hualmay,-11.1,-77.61,68.25,69,55,9.53,PE,1605216345
91,leningradskiy,69.38,178.42,17.08,94,100,8.3,RU,1605216346
92,qaqortoq,60.72,-46.03,17.6,61,87,3.36,GL,1605216346
93,new norfolk,-42.78,147.06,66.0,70,87,1.99,AU,1605216346
94,acapulco,16.86,-99.89,86.0,70,5,8.05,MX,1605216346
95,mahebourg,-20.41,57.7,75.2,83,40,12.75,MU,1605216347
96,dubreka,9.79,-13.52,84.2,79,20,1.43,GN,1605216347
97,tura,25.52,90.22,65.12,77,0,4.81,IN,1605216347
98,bambous virieux,-20.34,57.76,75.2,83,40,12.75,MU,1605216347
99,kiunga,-6.12,141.29,73.58,93,47,1.16,PG,1605216347
100,tuktoyaktuk,69.45,-133.04,1.4,84,75,13.87,CA,1605216347
101,saravena,6.95,-71.88,86.77,66,66,0.69,CO,1605216347
102,naze,28.37,129.48,69.8,60,0,17.22,JP,1605216348
103,esperance,-33.87,121.9,51.8,93,19,13.87,AU,1605216348
104,necochea,-38.55,-58.74,73.9,59,35,14.2,AR,1605216348
105,soyo,-6.13,12.37,79.57,85,99,9.08,AO,1605216348
106,molfetta,41.2,16.6,51.8,93,0,5.82,IT,1605216348
107,the valley,18.22,-63.06,82.4,78,40,14.99,AI,1605216348
108,nikolskoye,59.7,30.79,41.0,86,90,2.24,RU,1605216348
109,chuy,-33.7,-53.46,66.52,84,15,12.35,UY,1605216349
110,severo-kurilsk,50.68,156.12,37.26,80,61,8.93,RU,1605216349
111,atuona,-9.8,-139.03,78.15,71,0,11.9,PF,1605216349
112,fortuna,40.6,-124.16,57.99,54,1,6.22,US,1605216349
113,santa cruz de la palma,28.68,-17.76,70.0,83,0,2.24,ES,1605216349
114,bethel,41.37,-73.41,44.6,81,90,10.29,US,1605216350
115,oktyabrskiy,54.48,53.47,26.62,97,100,10.4,RU,1605216350
116,bardoli,21.12,73.12,69.24,38,0,5.77,IN,1605216350
117,olinda,-8.01,-34.86,80.6,74,40,8.05,BR,1605216350
118,anadyr,64.75,177.48,24.8,79,100,4.47,RU,1605216350
119,kjollefjord,70.95,27.35,35.6,80,0,19.46,NO,1605216127
120,te anau,-45.42,167.72,57.78,53,53,4.72,NZ,1605216351
121,lagoa,39.05,-27.98,63.43,82,6,9.91,PT,1605216351
122,lohja,60.25,24.07,42.01,81,100,4.0,FI,1605216351
123,bathsheba,13.22,-59.52,80.6,83,40,9.17,BB,1605216351
124,constitucion,-35.33,-72.42,62.71,62,100,13.94,CL,1605216351
125,qasigiannguit,68.82,-51.19,26.6,68,100,18.34,GL,1605216352
126,saint-philippe,-21.36,55.77,73.4,73,75,5.82,RE,1605216352
127,sitka,57.05,-135.33,42.8,81,90,10.29,US,1605216352
128,namatanai,-3.67,152.43,81.25,78,90,0.92,PG,1605216352
129,khatanga,71.97,102.5,-11.83,90,0,8.21,RU,1605216352
130,harrisburg,40.27,-76.88,50.0,61,90,9.17,US,1605216303
131,wajir,1.75,40.06,82.31,63,3,7.92,KE,1605216353
132,prince rupert,54.32,-130.32,42.8,86,90,11.41,CA,1605216353
133,pacific grove,36.62,-121.92,61.0,51,1,8.05,US,1605216353
134,bredasdorp,-34.53,20.04,65.05,72,7,3.13,ZA,1605216353
135,port alfred,-33.59,26.89,66.38,83,1,25.1,ZA,1605216353
136,bondo,3.81,23.69,69.98,77,72,2.62,CD,1605216353
137,pak chong,14.71,101.42,68.0,99,31,9.22,TH,1605216354
138,port blair,11.67,92.75,80.87,80,37,14.5,IN,1605216129
139,novyy urengoy,66.08,76.63,-7.53,91,65,8.93,RU,1605216354
140,athabasca,54.72,-113.29,26.6,68,65,6.93,CA,1605216194
141,butaritari,3.07,172.79,80.91,77,100,13.98,KI,1605216354
142,tabou,4.42,-7.35,78.64,86,77,5.35,CI,1605216354
143,shu,43.6,73.76,35.65,85,100,3.0,KZ,1605216355
144,grand gaube,-20.01,57.66,75.0,78,1,1.99,MU,1605216355
145,baglung,28.27,83.59,56.73,36,0,5.61,NP,1605216355
146,thompson,55.74,-97.86,-0.4,77,20,3.36,CA,1605216355
147,esmeraldas,-19.76,-44.31,78.8,83,75,4.7,BR,1605216282
148,cayenne,4.93,-52.33,82.4,83,90,5.82,GF,1605216355
149,cabo san lucas,22.89,-109.91,81.0,57,40,9.17,MX,1605216356
150,phan thiet,10.93,108.1,74.26,88,100,3.38,VN,1605216356
151,kerouane,9.27,-9.02,72.09,42,0,2.57,GN,1605216356
152,gimli,50.63,-96.99,19.4,67,100,9.17,CA,1605216356
153,mar del plata,-38.0,-57.56,66.2,77,0,19.46,AR,1605216061
154,hervey bay,-25.3,152.85,78.01,64,75,8.05,AU,1605216357
155,guerrero negro,27.98,-114.06,71.4,48,10,13.56,MX,1605216357
156,gat,31.61,34.76,66.99,84,0,4.81,IL,1605216124
157,hun,29.13,15.95,62.71,68,99,4.59,LY,1605216357
158,pita,10.83,-12.58,74.17,41,0,4.47,GN,1605216357
